term,home_ownership,grade,purpose,int_rate,addr_state,loan_status,application_type,loan_amnt,emp_length,annual_inc,dti,delinq_2yrs,revol_util,total_acc,num_tl_90g_dpd_24m,dti_joint,term_cleaned,emplen_cleaned,revolutil_cleaned,rev_avg,dti_cleaned,bad_loan
60 months,RENT,D,debt_consolidation,19.92%,FL,Current,Individual,35000,2 years,225000.0,3.63,0,91.50%,11,0,"",60,2,91.0,43.76206961077844,3.63,No
36 months,RENT,D,credit_card,19.92%,CA,Current,Individual,10000,2 years,150000.0,10.7,0,68%,26,0,"",36,2,68.0,43.76206961077844,10.7,No
36 months,MORTGAGE,D,debt_consolidation,22.35%,AZ,Current,Individual,6500,10+ years,54900.0,11.06,0,59.90%,18,0,"",36,10,59.0,43.76206961077844,11.06,No
60 months,MORTGAGE,D,home_improvement,18.94%,NC,Current,Individual,30000,10+ years,94813.0,9.57,0,59.80%,15,0,"",60,10,59.0,43.76206961077844,9.57,No
60 months,RENT,D,debt_consolidation,19.92%,NJ,Fully Paid,Individual,10000,6 years,27000.0,22.49,0,35.40%,9,0,"",60,6,35.0,43.76206961077844,22.49,No
36 months,RENT,B,debt_consolidation,10.08%,CA,Current,Individual,11000,10+ years,63500.0,12.78,0,10.50%,26,0,"",36,10,10.0,43.76206961077844,12.78,No
36 months,RENT,D,vacation,22.35%,WA,Current,Individual,1500,10+ years,45400.0,25.75,2,46.10%,25,0,"",36,10,46.0,43.76206961077844,25.75,No
36 months,MORTGAGE,A,credit_card,7.21%,FL,Current,Individual,12000,9 years,47000.0,3.12,0,13.20%,28,0,"",36,9,13.0,43.76206961077844,3.12,No
60 months,MORTGAGE,C,debt_consolidation,13.56%,OH,Current,Individual,24000,10+ years,56000.0,14.27,0,85.80%,24,0,"",60,10,85.0,43.76206961077844,14.27,No
36 months,MORTGAGE,A,credit_card,6.11%,MN,Fully Paid,Individual,6000,9 years,66500.0,7.09,0,39.40%,28,0,"",36,9,39.0,43.76206961077844,7.09,No
36 months,RENT,C,debt_consolidation,15.02%,MD,Current,Individual,20000,10+ years,70000.0,22.4,1,50.30%,32,0,"",36,10,50.0,43.76206961077844,22.4,No
60 months,OWN,A,debt_consolidation,8.46%,MI,Current,Individual,17000,8 years,43000.0,19.59,0,47.90%,12,0,"",60,8,47.0,43.76206961077844,19.59,No
36 months,MORTGAGE,A,debt_consolidation,6.67%,TN,Current,Individual,9000,n/a,30000.0,28.56,0,57%,21,0,"",36,"",57.0,43.76206961077844,28.56,No
36 months,MORTGAGE,D,debt_consolidation,20.89%,OR,Current,Individual,16000,10+ years,86000.0,34.48,0,102%,13,0,"",36,10,102.0,43.76206961077844,34.48,No
36 months,RENT,C,major_purchase,16.91%,TX,Current,Individual,3000,5 years,110000.0,21.0,0,76.40%,25,0,"",36,5,76.0,43.76206961077844,21.0,No
36 months,RENT,A,credit_card,8.46%,NY,Current,Individual,6000,5 years,32000.0,7.69,0,22.30%,13,0,"",36,5,22.0,43.76206961077844,7.69,No
36 months,MORTGAGE,D,debt_consolidation,19.92%,WI,Current,Individual,3000,10+ years,43000.0,19.62,0,83.80%,13,0,"",36,10,83.0,43.76206961077844,19.62,No
36 months,RENT,D,debt_consolidation,17.97%,NY,Current,Joint App,12000,< 1 year,40000.0,11.91,0,101.20%,6,0,7.6,36,1,101.0,43.76206961077844,11.91,No
36 months,RENT,D,debt_consolidation,17.97%,CA,Late (31-120 days),Individual,5000,< 1 year,55000.0,23.37,0,42.70%,27,0,"",36,1,42.0,43.76206961077844,23.37,Yes
36 months,MORTGAGE,A,debt_consolidation,6.11%,NJ,Current,Individual,24000,2 years,200000.0,21.53,0,50.90%,34,0,"",36,2,50.0,43.76206961077844,21.53,No
60 months,MORTGAGE,D,debt_consolidation,18.94%,WY,Fully Paid,Individual,21600,10+ years,50700.0,28.14,0,27.60%,39,0,"",60,10,27.0,43.76206961077844,28.14,No
36 months,MORTGAGE,A,credit_card,7.84%,IL,Current,Individual,32000,10+ years,85000.0,30.31,0,28.10%,50,0,"",36,10,28.0,43.76206961077844,30.31,No
60 months,OWN,B,debt_consolidation,11.55%,TN,Current,Joint App,25500,n/a,36000.0,15.27,0,9.80%,23,0,13.2,60,"",9.0,43.76206961077844,15.27,No
60 months,MORTGAGE,A,debt_consolidation,6.11%,FL,Current,Individual,25000,4 years,96000.0,12.29,0,56.30%,14,0,"",60,4,56.0,43.76206961077844,12.29,No
60 months,RENT,A,medical,7.84%,IN,Current,Joint App,10800,2 years,63500.0,10.68,0,2%,25,0,10.68,60,2,2.0,43.76206961077844,10.68,No
36 months,RENT,C,debt_consolidation,16.91%,FL,Current,Joint App,14000,2 years,50000.0,16.78,0,46.30%,12,0,16.39,36,2,46.0,43.76206961077844,16.78,No
36 months,MORTGAGE,E,debt_consolidation,24.37%,TX,Current,Individual,5300,10+ years,24000.0,24.8,0,44%,13,0,"",36,10,44.0,43.76206961077844,24.8,No
36 months,OWN,A,home_improvement,7.84%,NM,Current,Individual,20000,10+ years,68000.0,7.79,0,5.20%,27,0,"",36,10,5.0,43.76206961077844,7.79,No
36 months,MORTGAGE,B,debt_consolidation,11.06%,PA,Current,Joint App,11225,10+ years,27000.0,19.82,1,13.70%,13,0,21.65,36,10,13.0,43.76206961077844,19.82,No
60 months,MORTGAGE,D,debt_consolidation,19.92%,OH,Fully Paid,Joint App,12000,10+ years,86000.0,26.12,0,50.30%,31,0,18.72,60,10,50.0,43.76206961077844,26.12,No
36 months,RENT,B,credit_card,12.73%,OH,Current,Individual,10000,9 years,55000.0,14.12,0,65.30%,5,0,"",36,9,65.0,43.76206961077844,14.12,No
60 months,MORTGAGE,E,debt_consolidation,23.40%,NY,Current,Individual,10000,10+ years,50000.0,30.68,1,69.20%,24,0,"",60,10,69.0,43.76206961077844,30.68,No
60 months,RENT,B,debt_consolidation,10.47%,CA,Current,Individual,40000,10+ years,100000.0,6.61,0,40.90%,14,0,"",60,10,40.0,43.76206961077844,6.61,No
60 months,MORTGAGE,D,debt_consolidation,19.92%,IL,Current,Individual,30000,8 years,65000.0,30.0,0,49.40%,27,0,"",60,8,49.0,43.76206961077844,30.0,No
36 months,RENT,A,credit_card,8.46%,FL,Current,Individual,6000,10+ years,50000.0,9.7,0,44%,8,0,"",36,10,44.0,43.76206961077844,9.7,No
60 months,MORTGAGE,B,debt_consolidation,12.73%,MD,Current,Individual,24000,10+ years,105000.0,11.36,0,53.60%,45,0,"",60,10,53.0,43.76206961077844,11.36,No
36 months,RENT,D,other,19.92%,NY,Current,Joint App,10000,< 1 year,130000.0,14.38,0,44.90%,22,0,13.31,36,1,44.0,43.76206961077844,14.38,No
36 months,OWN,C,debt_consolidation,14.47%,CA,Current,Individual,2000,10+ years,62000.0,30.0,2,14%,20,0,"",36,10,14.0,43.76206961077844,30.0,No
60 months,MORTGAGE,D,credit_card,19.92%,OH,Current,Individual,25275,5 years,36000.0,27.73,0,29.90%,26,0,"",60,5,29.0,43.76206961077844,27.73,No
36 months,MORTGAGE,A,medical,8.46%,CA,Current,Individual,16000,n/a,96096.0,8.34,0,45.40%,35,0,"",36,"",45.0,43.76206961077844,8.34,No
36 months,MORTGAGE,C,debt_consolidation,16.14%,KY,Current,Individual,6000,10+ years,75000.0,35.46,2,6.20%,39,0,"",36,10,6.0,43.76206961077844,35.46,No
60 months,MORTGAGE,C,debt_consolidation,15.02%,LA,Current,Joint App,30000,10+ years,175000.0,19.67,0,81.10%,35,0,23.29,60,10,81.0,43.76206961077844,19.67,No
36 months,RENT,B,debt_consolidation,11.55%,HI,Current,Individual,32200,1 year,225000.0,3.71,0,46.50%,6,0,"",36,1,46.0,43.76206961077844,3.71,No
36 months,RENT,A,debt_consolidation,7.84%,FL,Current,Individual,6000,6 years,24000.0,26.35,0,2.10%,16,0,"",36,6,2.0,43.76206961077844,26.35,No
60 months,RENT,D,credit_card,19.92%,CA,Current,Individual,35000,8 years,100000.0,20.86,0,57.80%,33,0,"",60,8,57.0,43.76206961077844,20.86,No
36 months,RENT,B,other,11.06%,MI,Current,Individual,5000,10+ years,67974.0,15.89,0,60.90%,15,0,"",36,10,60.0,43.76206961077844,15.89,No
36 months,MORTGAGE,A,moving,6.67%,NV,Current,Individual,21000,6 years,135000.0,1.7,0,19.10%,26,0,"",36,6,19.0,43.76206961077844,1.7,No
60 months,MORTGAGE,C,debt_consolidation,15.02%,CA,Current,Joint App,40000,10+ years,150000.0,23.43,0,94.40%,44,0,23.48,60,10,94.0,43.76206961077844,23.43,No
36 months,MORTGAGE,D,home_improvement,22.35%,MI,Current,Individual,20000,10+ years,105000.0,26.95,1,37.10%,33,0,"",36,10,37.0,43.76206961077844,26.95,No
36 months,RENT,C,debt_consolidation,14.47%,VA,Current,Individual,10000,10+ years,110000.0,16.11,0,41.20%,45,0,"",36,10,41.0,43.76206961077844,16.11,No
60 months,RENT,B,debt_consolidation,10.08%,CA,Current,Individual,20000,10+ years,150000.0,10.7,1,95.20%,20,0,"",60,10,95.0,43.76206961077844,10.7,No
60 months,RENT,C,debt_consolidation,13.56%,PA,Current,Individual,20000,4 years,77000.0,37.92,1,39.30%,23,1,"",60,4,39.0,43.76206961077844,37.92,No
60 months,MORTGAGE,B,credit_card,12.73%,CA,Late (31-120 days),Joint App,28000,5 years,20000.0,175.99,0,84%,17,0,30.25,60,5,84.0,43.76206961077844,175.99,Yes
60 months,RENT,C,debt_consolidation,15.02%,TX,Current,Joint App,40000,10+ years,72000.0,27.65,1,62.70%,17,0,21.44,60,10,62.0,43.76206961077844,27.65,No
36 months,RENT,C,credit_card,14.47%,CT,Current,Individual,7500,3 years,70000.0,22.03,0,7.60%,14,0,"",36,3,7.0,43.76206961077844,22.03,No
60 months,MORTGAGE,C,debt_consolidation,14.47%,GA,Current,Individual,20000,10+ years,48000.0,2.55,0,94.10%,8,0,"",60,10,94.0,43.76206961077844,2.55,No
36 months,RENT,C,debt_consolidation,14.47%,CA,Current,Joint App,5000,< 1 year,50000.0,8.21,0,5.10%,16,0,14.15,36,1,5.0,43.76206961077844,8.21,No
36 months,RENT,B,other,10.47%,IL,Current,Joint App,10000,10+ years,30000.0,5.16,0,12.80%,8,0,6.33,36,10,12.0,43.76206961077844,5.16,No
60 months,OWN,B,home_improvement,11.55%,OH,Current,Individual,40000,10+ years,100000.0,24.55,1,26.20%,31,0,"",60,10,26.0,43.76206961077844,24.55,No
36 months,MORTGAGE,C,credit_card,13.56%,WI,Current,Joint App,18000,10+ years,65000.0,62.68,0,88%,26,0,25.11,36,10,88.0,43.76206961077844,62.68,No
36 months,MORTGAGE,A,home_improvement,8.46%,PA,Current,Individual,7000,6 years,65000.0,5.49,0,4.50%,25,0,"",36,6,4.0,43.76206961077844,5.49,No
36 months,OWN,C,debt_consolidation,13.56%,NC,Fully Paid,Individual,10000,10+ years,70000.0,5.49,0,45.90%,11,0,"",36,10,45.0,43.76206961077844,5.49,No
36 months,RENT,B,debt_consolidation,10.08%,TX,Current,Joint App,12000,3 years,60000.0,39.48,0,32.10%,42,0,19.44,36,3,32.0,43.76206961077844,39.48,No
60 months,RENT,B,credit_card,11.55%,FL,Current,Individual,30000,< 1 year,50000.0,34.42,0,46.30%,28,0,"",60,1,46.0,43.76206961077844,34.42,No
36 months,RENT,A,debt_consolidation,7.21%,CA,Current,Individual,15000,< 1 year,48000.0,25.69,0,60.10%,7,0,"",36,1,60.0,43.76206961077844,25.69,No
36 months,RENT,A,debt_consolidation,8.46%,CA,Current,Individual,32000,2 years,55000.0,26.4,2,0%,51,0,"",36,2,0.0,43.76206961077844,26.4,No
36 months,MORTGAGE,A,credit_card,6.11%,NC,Current,Individual,5000,8 years,48000.0,8.36,0,76.60%,14,0,"",36,8,76.0,43.76206961077844,8.36,No
60 months,MORTGAGE,E,credit_card,23.40%,MI,Current,Individual,14000,3 years,40280.0,31.79,0,57%,12,0,"",60,3,57.0,43.76206961077844,31.79,No
36 months,RENT,A,debt_consolidation,8.46%,MN,Current,Individual,4000,10+ years,34000.0,21.67,0,17.20%,23,0,"",36,10,17.0,43.76206961077844,21.67,No
36 months,RENT,B,debt_consolidation,11.55%,IL,Current,Individual,36000,2 years,80000.0,12.29,0,63.10%,19,0,"",36,2,63.0,43.76206961077844,12.29,No
36 months,MORTGAGE,A,debt_consolidation,7.84%,IN,Current,Individual,11500,< 1 year,45000.0,23.36,0,39.30%,40,0,"",36,1,39.0,43.76206961077844,23.36,No
60 months,MORTGAGE,C,debt_consolidation,16.14%,IL,Current,Individual,35000,5 years,62400.0,18.33,0,7.60%,14,0,"",60,5,7.0,43.76206961077844,18.33,No
36 months,MORTGAGE,A,debt_consolidation,6.67%,SC,Current,Individual,28000,6 years,154693.0,7.83,0,47.80%,26,0,"",36,6,47.0,43.76206961077844,7.83,No
36 months,MORTGAGE,A,credit_card,7.84%,FL,Current,Individual,27500,n/a,55000.0,22.28,0,13.50%,25,0,"",36,"",13.0,43.76206961077844,22.28,No
60 months,RENT,C,debt_consolidation,15.02%,FL,Current,Individual,25000,< 1 year,81700.0,5.32,0,52.10%,9,0,"",60,1,52.0,43.76206961077844,5.32,No
36 months,RENT,B,credit_card,10.47%,FL,Current,Individual,4000,< 1 year,25000.0,5.42,0,67.20%,2,0,"",36,1,67.0,43.76206961077844,5.42,No
36 months,OWN,A,debt_consolidation,8.46%,AL,Current,Individual,6000,n/a,30000.0,16.4,0,30.80%,5,0,"",36,"",30.0,43.76206961077844,16.4,No
36 months,OWN,A,debt_consolidation,7.21%,FL,Current,Individual,8000,8 years,33000.0,28.11,0,0.20%,15,0,"",36,8,0.0,43.76206961077844,28.11,No
36 months,MORTGAGE,A,credit_card,7.84%,GA,Current,Individual,40000,5 years,195000.0,22.35,0,27.30%,39,0,"",36,5,27.0,43.76206961077844,22.35,No
36 months,MORTGAGE,A,credit_card,6.11%,FL,Current,Individual,12500,10+ years,60000.0,25.46,0,38.50%,27,0,"",36,10,38.0,43.76206961077844,25.46,No
36 months,MORTGAGE,A,debt_consolidation,7.84%,GA,Current,Individual,30000,< 1 year,75000.0,14.06,0,28%,24,0,"",36,1,28.0,43.76206961077844,14.06,No
36 months,RENT,A,debt_consolidation,7.21%,NY,Current,Joint App,7000,10+ years,94000.0,4.98,1,13%,19,0,7.77,36,10,13.0,43.76206961077844,4.98,No
60 months,MORTGAGE,E,debt_consolidation,25.34%,CA,Current,Joint App,35000,10+ years,350000.0,28.15,0,91.90%,34,0,33.41,60,10,91.0,43.76206961077844,28.15,No
60 months,RENT,B,debt_consolidation,12.73%,WI,Current,Individual,12000,n/a,20000.0,8.16,0,30.30%,11,0,"",60,"",30.0,43.76206961077844,8.16,No
60 months,RENT,D,debt_consolidation,17.97%,CA,Current,Individual,19000,10+ years,36555.0,22.94,0,44%,20,0,"",60,10,44.0,43.76206961077844,22.94,No
36 months,RENT,C,credit_card,13.56%,VA,Current,Individual,3000,7 years,40000.0,29.98,0,71.90%,28,0,"",36,7,71.0,43.76206961077844,29.98,No
36 months,RENT,A,credit_card,7.21%,FL,Current,Individual,31000,10+ years,71388.0,16.15,0,66.10%,11,0,"",36,10,66.0,43.76206961077844,16.15,No
60 months,RENT,A,credit_card,6.11%,NC,Current,Individual,12500,3 years,50000.0,23.66,0,22.30%,18,0,"",60,3,22.0,43.76206961077844,23.66,No
60 months,MORTGAGE,C,credit_card,13.56%,NJ,Current,Individual,12000,2 years,47000.0,21.42,0,19.40%,80,0,"",60,2,19.0,43.76206961077844,21.42,No
60 months,OWN,D,debt_consolidation,19.92%,CA,Current,Individual,24000,n/a,35600.0,18.71,0,60.70%,38,0,"",60,"",60.0,43.76206961077844,18.71,No
60 months,MORTGAGE,C,other,16.14%,LA,Current,Joint App,20000,10+ years,28000.0,107.76,0,18.30%,46,0,24.98,60,10,18.0,43.76206961077844,107.76,No
36 months,MORTGAGE,B,home_improvement,11.55%,TN,Current,Individual,6000,9 years,87000.0,21.17,0,58.90%,28,0,"",36,9,58.0,43.76206961077844,21.17,No
60 months,MORTGAGE,B,debt_consolidation,11.55%,MO,Current,Individual,14400,10+ years,50000.0,17.76,0,40.50%,25,0,"",60,10,40.0,43.76206961077844,17.76,No
60 months,OWN,E,debt_consolidation,25.34%,CA,Current,Individual,27150,10+ years,190000.0,29.4,0,80%,42,0,"",60,10,80.0,43.76206961077844,29.4,No
36 months,MORTGAGE,A,debt_consolidation,8.46%,MA,Current,Individual,5000,2 years,70300.0,10.38,0,43.20%,12,0,"",36,2,43.0,43.76206961077844,10.38,No
36 months,RENT,C,credit_card,13.56%,NY,Current,Individual,8000,3 years,60000.0,7.27,0,83.60%,3,0,"",36,3,83.0,43.76206961077844,7.27,No
36 months,RENT,A,credit_card,7.84%,CA,Current,Individual,17000,2 years,120000.0,8.68,0,64.70%,17,0,"",36,2,64.0,43.76206961077844,8.68,No
60 months,MORTGAGE,C,debt_consolidation,16.14%,FL,Current,Individual,24225,8 years,72500.0,27.91,0,61.60%,23,0,"",60,8,61.0,43.76206961077844,27.91,No
36 months,RENT,B,debt_consolidation,10.47%,WA,Current,Individual,10000,10+ years,30000.0,9.56,0,63.50%,6,0,"",36,10,63.0,43.76206961077844,9.56,No
60 months,MORTGAGE,C,debt_consolidation,16.14%,IL,Current,Individual,30000,10+ years,84000.0,29.42,0,58.10%,68,0,"",60,10,58.0,43.76206961077844,29.42,No
36 months,RENT,C,debt_consolidation,16.14%,AR,Current,Individual,14000,10+ years,41000.0,39.02,0,48.50%,15,0,"",36,10,48.0,43.76206961077844,39.02,No
60 months,MORTGAGE,C,other,13.56%,NJ,Current,Joint App,34175,n/a,64000.0,24.22,1,87.10%,28,0,21.29,60,"",87.0,43.76206961077844,24.22,No
36 months,MORTGAGE,A,debt_consolidation,6.11%,PA,Current,Individual,17000,1 year,75000.0,25.17,0,30%,17,0,"",36,1,30.0,43.76206961077844,25.17,No
36 months,RENT,A,credit_card,7.21%,NY,Current,Individual,10000,3 years,45000.0,26.88,0,60.10%,18,0,"",36,3,60.0,43.76206961077844,26.88,No
36 months,RENT,B,debt_consolidation,10.47%,OR,Current,Individual,10000,2 years,45000.0,16.61,0,51.70%,29,0,"",36,2,51.0,43.76206961077844,16.61,No
36 months,RENT,A,debt_consolidation,8.46%,CA,Current,Individual,11200,2 years,185000.0,16.03,2,74.90%,25,0,"",36,2,74.0,43.76206961077844,16.03,No
60 months,OWN,A,debt_consolidation,6.11%,NY,Current,Individual,32000,5 years,100000.0,7.67,0,31.20%,23,0,"",60,5,31.0,43.76206961077844,7.67,No
60 months,MORTGAGE,C,debt_consolidation,16.14%,CT,Current,Joint App,30000,10+ years,48000.0,14.38,0,50.60%,20,0,22.97,60,10,50.0,43.76206961077844,14.38,No
60 months,MORTGAGE,C,debt_consolidation,13.56%,KY,Current,Individual,28000,2 years,101000.0,24.45,1,71.50%,38,0,"",60,2,71.0,43.76206961077844,24.45,No
60 months,MORTGAGE,D,debt_consolidation,18.94%,NY,Current,Individual,30000,3 years,130000.0,20.75,0,41.80%,25,0,"",60,3,41.0,43.76206961077844,20.75,No
36 months,RENT,C,other,13.56%,NY,Current,Individual,2400,10+ years,64000.0,11.23,0,23%,25,0,"",36,10,23.0,43.76206961077844,11.23,No
36 months,MORTGAGE,A,credit_card,8.46%,TN,Current,Individual,10000,10+ years,120000.0,23.04,1,45.60%,38,0,"",36,10,45.0,43.76206961077844,23.04,No
60 months,MORTGAGE,C,debt_consolidation,15.02%,WA,Current,Individual,11000,10+ years,45000.0,16.08,0,42.80%,24,0,"",60,10,42.0,43.76206961077844,16.08,No
60 months,MORTGAGE,C,debt_consolidation,14.47%,NV,Current,Joint App,35000,10+ years,80000.0,28.14,0,72.30%,29,0,29.56,60,10,72.0,43.76206961077844,28.14,No
36 months,MORTGAGE,A,credit_card,7.21%,MD,Current,Individual,10000,10+ years,89000.0,15.4,2,48.30%,31,0,"",36,10,48.0,43.76206961077844,15.4,No
60 months,MORTGAGE,B,debt_consolidation,11.55%,CA,Current,Joint App,21200,10+ years,45000.0,36.05,0,26.10%,16,0,18.88,60,10,26.0,43.76206961077844,36.05,No
36 months,RENT,A,small_business,6.11%,NY,Current,Joint App,15000,< 1 year,160000.0,0.54,0,2.10%,40,0,2.31,36,1,2.0,43.76206961077844,0.54,No
36 months,MORTGAGE,B,debt_consolidation,11.55%,AZ,Current,Individual,20000,< 1 year,80000.0,14.07,0,65.70%,22,0,"",36,1,65.0,43.76206961077844,14.07,No
36 months,RENT,C,debt_consolidation,16.91%,MD,Current,Individual,19200,10+ years,70000.0,18.02,0,95.70%,9,0,"",36,10,95.0,43.76206961077844,18.02,No
36 months,RENT,C,debt_consolidation,16.14%,TX,Current,Joint App,12000,3 years,67000.0,28.91,0,38.50%,12,0,20.9,36,3,38.0,43.76206961077844,28.91,No
36 months,RENT,C,debt_consolidation,16.91%,CA,Fully Paid,Individual,7000,5 years,38000.0,9.41,0,33.30%,13,0,"",36,5,33.0,43.76206961077844,9.41,No
36 months,OWN,B,debt_consolidation,11.06%,CA,Current,Individual,3000,9 years,170000.0,10.44,0,17.70%,34,0,"",36,9,17.0,43.76206961077844,10.44,No
36 months,RENT,A,debt_consolidation,7.84%,IL,Current,Individual,9000,< 1 year,110000.0,14.0,0,7.70%,22,0,"",36,1,7.0,43.76206961077844,14.0,No
36 months,RENT,B,credit_card,11.06%,CA,Current,Individual,4400,4 years,100000.0,9.74,0,39.70%,12,0,"",36,4,39.0,43.76206961077844,9.74,No
36 months,MORTGAGE,D,debt_consolidation,18.94%,FL,Current,Individual,5400,10+ years,54000.0,30.98,0,95.60%,21,0,"",36,10,95.0,43.76206961077844,30.98,No
60 months,MORTGAGE,D,debt_consolidation,17.97%,NC,Current,Joint App,17000,n/a,58000.0,30.04,0,43.70%,29,0,17.01,60,"",43.0,43.76206961077844,30.04,No
60 months,RENT,A,debt_consolidation,8.46%,CA,Current,Individual,23000,10+ years,75000.0,20.03,0,61.50%,19,0,"",60,10,61.0,43.76206961077844,20.03,No
36 months,MORTGAGE,C,debt_consolidation,14.47%,OH,Fully Paid,Individual,5000,10+ years,54000.0,19.22,0,53.50%,13,0,"",36,10,53.0,43.76206961077844,19.22,No
36 months,MORTGAGE,A,home_improvement,6.67%,TX,Current,Individual,4000,2 years,93500.0,14.29,0,16.70%,31,0,"",36,2,16.0,43.76206961077844,14.29,No
60 months,RENT,C,debt_consolidation,16.14%,TN,Current,Individual,12000,9 years,36000.0,25.77,0,65.70%,19,0,"",60,9,65.0,43.76206961077844,25.77,No
36 months,OWN,C,debt_consolidation,13.56%,AR,Current,Individual,15000,10+ years,48000.0,26.0,0,54.50%,14,0,"",36,10,54.0,43.76206961077844,26.0,No
36 months,OWN,B,home_improvement,10.47%,WA,Current,Individual,40000,10+ years,123004.0,15.94,0,61.40%,27,0,"",36,10,61.0,43.76206961077844,15.94,No
60 months,RENT,A,credit_card,6.11%,FL,Current,Individual,13500,7 years,60000.0,16.64,0,46.10%,16,0,"",60,7,46.0,43.76206961077844,16.64,No
60 months,MORTGAGE,B,credit_card,10.08%,IN,Current,Individual,38000,10+ years,127000.0,25.62,0,64.90%,39,0,"",60,10,64.0,43.76206961077844,25.62,No
36 months,RENT,B,credit_card,10.47%,NH,Current,Joint App,39000,9 years,60000.0,12.82,0,13.10%,39,0,29.79,36,9,13.0,43.76206961077844,12.82,No
36 months,RENT,B,debt_consolidation,11.55%,NE,Current,Individual,16000,1 year,48000.0,7.68,0,27.60%,22,0,"",36,1,27.0,43.76206961077844,7.68,No
36 months,MORTGAGE,C,debt_consolidation,16.14%,NJ,Current,Joint App,2000,10+ years,88000.0,19.26,0,42.20%,32,0,24.61,36,10,42.0,43.76206961077844,19.26,No
36 months,OWN,C,debt_consolidation,16.14%,AL,Current,Joint App,10000,8 years,35000.0,35.53,0,15.20%,11,0,23.76,36,8,15.0,43.76206961077844,35.53,No
36 months,RENT,B,credit_card,11.06%,UT,Current,Individual,3600,10+ years,31000.0,20.52,0,30.50%,9,0,"",36,10,30.0,43.76206961077844,20.52,No
60 months,MORTGAGE,D,credit_card,17.97%,IL,Current,Individual,21000,10+ years,41350.0,18.96,0,56.10%,12,0,"",60,10,56.0,43.76206961077844,18.96,No
36 months,RENT,B,credit_card,12.73%,WA,Current,Individual,25000,10+ years,110000.0,32.06,0,38.90%,28,0,"",36,10,38.0,43.76206961077844,32.06,No
60 months,RENT,E,debt_consolidation,25.34%,NJ,Current,Individual,15000,2 years,65000.0,22.43,0,76.20%,21,0,"",60,2,76.0,43.76206961077844,22.43,No
60 months,RENT,C,debt_consolidation,16.91%,CA,Current,Individual,25500,10+ years,80000.0,17.79,0,27.50%,24,0,"",60,10,27.0,43.76206961077844,17.79,No
60 months,MORTGAGE,E,home_improvement,27.27%,NC,Current,Joint App,25000,3 years,27500.0,26.01,0,89.30%,13,0,14.82,60,3,89.0,43.76206961077844,26.01,No
60 months,OWN,C,credit_card,15.02%,PA,Current,Individual,18500,10+ years,86414.0,14.26,0,52.50%,21,0,"",60,10,52.0,43.76206961077844,14.26,No
60 months,MORTGAGE,B,credit_card,12.73%,DE,Current,Individual,18000,3 years,69000.0,27.03,0,58.70%,16,0,"",60,3,58.0,43.76206961077844,27.03,No
36 months,MORTGAGE,A,debt_consolidation,6.11%,TX,Current,Individual,25000,3 years,100000.0,8.38,0,10.30%,24,0,"",36,3,10.0,43.76206961077844,8.38,No
36 months,RENT,A,credit_card,7.84%,NY,Current,Joint App,15000,1 year,65550.0,13.4,0,55%,27,0,12.16,36,1,55.0,43.76206961077844,13.4,No
36 months,RENT,C,credit_card,15.02%,MA,Current,Individual,20000,10+ years,48000.0,19.08,0,80.90%,20,0,"",36,10,80.0,43.76206961077844,19.08,No
60 months,RENT,C,debt_consolidation,15.02%,NY,Current,Individual,24000,1 year,106482.0,15.25,0,57.10%,25,0,"",60,1,57.0,43.76206961077844,15.25,No
36 months,MORTGAGE,B,credit_card,11.55%,AZ,Current,Individual,3500,10+ years,26000.0,9.97,0,36.80%,26,0,"",36,10,36.0,43.76206961077844,9.97,No
60 months,RENT,D,debt_consolidation,19.92%,NY,Current,Individual,10000,n/a,75000.0,27.82,0,46.80%,31,0,"",60,"",46.0,43.76206961077844,27.82,No
36 months,MORTGAGE,A,credit_card,6.67%,TX,Current,Individual,20000,2 years,100000.0,13.28,0,53.10%,18,0,"",36,2,53.0,43.76206961077844,13.28,No
36 months,MORTGAGE,B,debt_consolidation,11.06%,MI,Current,Individual,4225,8 years,39894.0,15.16,0,5.20%,22,0,"",36,8,5.0,43.76206961077844,15.16,No
36 months,MORTGAGE,B,debt_consolidation,11.06%,IL,Current,Individual,6400,< 1 year,46000.0,9.52,0,61.80%,16,0,"",36,1,61.0,43.76206961077844,9.52,No
36 months,MORTGAGE,A,debt_consolidation,6.11%,GA,Fully Paid,Individual,30000,n/a,120000.0,29.56,0,88.30%,40,0,"",36,"",88.0,43.76206961077844,29.56,No
60 months,RENT,D,debt_consolidation,17.97%,WI,Current,Joint App,12000,2 years,52000.0,15.65,0,0%,10,0,14.73,60,2,0.0,43.76206961077844,15.65,No
36 months,RENT,A,debt_consolidation,7.21%,OH,Current,Individual,12000,7 years,75000.0,7.26,0,9.20%,10,0,"",36,7,9.0,43.76206961077844,7.26,No
36 months,RENT,A,credit_card,7.84%,TN,Current,Individual,8000,6 years,73000.0,11.79,0,48.50%,37,0,"",36,6,48.0,43.76206961077844,11.79,No
36 months,RENT,A,credit_card,7.84%,GA,Current,Individual,4900,4 years,24000.0,6.7,0,12.70%,6,0,"",36,4,12.0,43.76206961077844,6.7,No
60 months,RENT,D,debt_consolidation,17.97%,CA,Current,Individual,20000,10+ years,60000.0,31.6,0,33.70%,37,0,"",60,10,33.0,43.76206961077844,31.6,No
