term,home_ownership,grade,purpose,int_rate,addr_state,loan_status,application_type,loan_amnt,emp_length,annual_inc,delinq_2yrs,total_acc,num_tl_90g_dpd_24m,term_cleaned,emplen_cleaned,revolutil_cleaned,rev_avg,dti_cleaned,bad_loan
36 months,RENT,A,debt_consolidation,7.84%,CA,Current,Individual,14000,10+ years,64000.0,0,16,0,36,10,7.0,43.76206961077844,12.99,No
36 months,MORTGAGE,A,debt_consolidation,8.46%,FL,Current,Individual,7000,n/a,74000.0,0,44,0,36,"",22.0,43.76206961077844,13.93,No
60 months,MORTGAGE,B,debt_consolidation,10.47%,NC,Current,Individual,21600,4 years,56000.0,0,11,0,60,4,63.0,43.76206961077844,19.76,No
36 months,MORTGAGE,B,credit_card,11.55%,CA,Current,Individual,12800,10+ years,140000.0,2,33,0,36,10,92.0,43.76206961077844,20.69,No
36 months,RENT,B,other,12.73%,CA,Current,Individual,2050,< 1 year,45000.0,0,14,0,36,1,80.0,43.76206961077844,13.41,No
36 months,MORTGAGE,A,home_improvement,7.21%,MD,Current,Individual,7000,10+ years,67000.0,0,16,0,36,10,44.0,43.76206961077844,20.8,No
60 months,MORTGAGE,C,vacation,13.56%,OR,Current,Individual,15400,10+ years,97000.0,0,31,0,60,10,52.0,43.76206961077844,11.22,No
60 months,RENT,B,debt_consolidation,12.73%,CA,Current,Individual,15600,10+ years,70000.0,0,26,0,60,10,20.0,43.76206961077844,15.84,No
36 months,RENT,D,debt_consolidation,18.94%,NJ,Current,Individual,6000,3 years,100000.0,0,34,0,36,3,67.0,43.76206961077844,11.57,No
36 months,RENT,D,credit_card,20.89%,NJ,Current,Individual,12000,5 years,60000.0,0,28,0,36,5,27.0,43.76206961077844,35.88,No
60 months,MORTGAGE,B,debt_consolidation,11.55%,SC,Current,Individual,20000,< 1 year,65000.0,0,47,0,60,1,17.0,43.76206961077844,6.81,No
60 months,MORTGAGE,D,home_improvement,18.94%,NJ,Current,Joint App,25000,10+ years,55000.0,5,34,0,60,10,28.0,43.76206961077844,37.02,No
36 months,OWN,B,debt_consolidation,10.08%,CT,Current,Individual,6500,4 years,33500.0,1,13,0,36,4,32.0,43.76206961077844,29.56,No
36 months,MORTGAGE,C,vacation,13.56%,AL,Current,Individual,5000,10+ years,155000.0,1,53,0,36,10,80.0,43.76206961077844,28.89,No
60 months,RENT,C,debt_consolidation,15.02%,CA,Current,Individual,25000,1 year,60000.0,0,9,0,60,1,26.0,43.76206961077844,4.82,No
36 months,RENT,B,credit_card,10.47%,IL,Current,Individual,10000,10+ years,41000.0,0,12,0,36,10,21.0,43.76206961077844,22.16,No
60 months,MORTGAGE,C,debt_consolidation,16.91%,FL,Current,Individual,13000,10+ years,73000.0,0,12,0,60,10,53.0,43.76206961077844,7.55,No
36 months,OWN,C,home_improvement,15.02%,MN,Current,Individual,5000,7 years,51000.0,0,15,0,36,7,50.0,43.76206961077844,28.73,No
36 months,MORTGAGE,B,other,11.06%,MD,Current,Individual,5000,8 years,130000.0,0,70,0,36,8,30.0,43.76206961077844,25.44,No
36 months,RENT,B,debt_consolidation,11.55%,CA,Current,Individual,16000,2 years,44000.0,0,9,0,36,2,16.0,43.76206961077844,10.97,No
36 months,MORTGAGE,A,home_improvement,6.67%,CA,Fully Paid,Individual,5000,4 years,95000.0,0,33,0,36,4,5.0,43.76206961077844,26.25,No
60 months,RENT,C,debt_consolidation,15.02%,CA,Fully Paid,Individual,12000,10+ years,85000.0,0,19,0,60,10,30.0,43.76206961077844,25.12,No
36 months,RENT,B,debt_consolidation,10.08%,GA,Current,Joint App,24350,3 years,76000.0,0,73,0,36,3,21.0,43.76206961077844,35.29,No
36 months,OWN,C,debt_consolidation,15.02%,NY,Current,Individual,14000,1 year,100000.0,0,29,0,36,1,45.0,43.76206961077844,23.69,No
36 months,MORTGAGE,B,home_improvement,10.47%,AR,Current,Individual,8400,1 year,62000.0,0,19,0,36,1,23.0,43.76206961077844,25.34,No
36 months,MORTGAGE,A,credit_card,7.84%,MD,Current,Individual,11200,5 years,55000.0,0,37,0,36,5,5.0,43.76206961077844,27.54,No
60 months,MORTGAGE,C,debt_consolidation,15.02%,IN,Current,Joint App,40000,10+ years,65000.0,0,13,0,60,10,48.0,43.76206961077844,25.39,No
36 months,RENT,A,debt_consolidation,6.11%,FL,Current,Individual,6000,5 years,68000.0,0,17,0,36,5,9.0,43.76206961077844,14.58,No
60 months,RENT,C,credit_card,14.47%,TX,Current,Individual,10000,4 years,75000.0,0,60,0,60,4,12.0,43.76206961077844,17.57,No
36 months,RENT,C,credit_card,14.47%,NY,Current,Individual,5000,n/a,56000.0,0,11,0,36,"",34.0,43.76206961077844,20.04,No
60 months,MORTGAGE,C,credit_card,13.56%,NH,Current,Individual,13000,6 years,100000.0,0,60,0,60,6,24.0,43.76206961077844,19.85,No
36 months,RENT,E,debt_consolidation,23.40%,MA,Current,Individual,15000,10+ years,65000.0,0,44,0,36,10,30.0,43.76206961077844,26.07,No
36 months,MORTGAGE,A,debt_consolidation,6.67%,WI,Current,Individual,40000,10+ years,250000.0,1,29,0,36,10,71.0,43.76206961077844,9.49,No
36 months,MORTGAGE,B,credit_card,10.08%,FL,Current,Individual,10000,3 years,137000.0,1,16,1,36,3,51.0,43.76206961077844,5.61,No
60 months,MORTGAGE,C,debt_consolidation,16.91%,FL,Current,Individual,24000,3 years,60000.0,0,20,0,60,3,73.0,43.76206961077844,20.97,No
36 months,RENT,B,debt_consolidation,10.47%,IN,Current,Individual,11500,< 1 year,35000.0,0,31,0,36,1,14.0,43.76206961077844,14.92,No
60 months,MORTGAGE,A,debt_consolidation,8.46%,ME,Current,Joint App,14500,7 years,70000.0,0,25,0,60,7,79.0,43.76206961077844,20.85,No
36 months,OWN,C,debt_consolidation,14.47%,FL,Current,Individual,2400,10+ years,60000.0,0,26,0,36,10,17.0,43.76206961077844,3.1,No
36 months,RENT,A,debt_consolidation,7.21%,WA,Current,Joint App,17000,10+ years,38000.0,0,12,0,36,10,34.0,43.76206961077844,37.11,No
36 months,MORTGAGE,D,debt_consolidation,19.92%,CA,Current,Individual,14650,7 years,271000.0,1,46,0,36,7,87.0,43.76206961077844,17.46,No
36 months,RENT,B,credit_card,10.08%,PA,Current,Individual,2000,2 years,55000.0,0,10,0,36,2,37.0,43.76206961077844,24.94,No
36 months,OWN,C,debt_consolidation,16.14%,PA,Current,Joint App,4000,4 years,45000.0,0,8,0,36,4,83.0,43.76206961077844,18.03,No
36 months,RENT,B,credit_card,10.47%,CA,Current,Individual,11500,8 years,25000.0,0,12,0,36,8,35.0,43.76206961077844,18.67,No
36 months,RENT,D,credit_card,18.94%,NY,Current,Joint App,24000,< 1 year,55000.0,1,36,1,36,1,59.0,43.76206961077844,24.2,No
36 months,RENT,A,debt_consolidation,6.11%,CO,Current,Individual,2500,2 years,27144.0,0,6,0,36,2,20.0,43.76206961077844,23.87,No
60 months,MORTGAGE,D,debt_consolidation,22.35%,MI,Current,Joint App,20200,10+ years,70000.0,0,30,0,60,10,72.0,43.76206961077844,24.53,No
60 months,MORTGAGE,B,credit_card,10.47%,TX,Current,Individual,31200,< 1 year,60000.0,0,19,0,60,1,12.0,43.76206961077844,4.48,No
36 months,MORTGAGE,A,debt_consolidation,6.67%,CO,Current,Individual,10000,n/a,72000.0,0,29,0,36,"",11.0,43.76206961077844,10.82,No
36 months,RENT,D,debt_consolidation,17.97%,CA,Current,Joint App,8100,n/a,9540.0,0,12,0,36,"",55.0,43.76206961077844,59.37,No
60 months,MORTGAGE,D,debt_consolidation,22.35%,VA,Current,Individual,16000,10+ years,120000.0,0,16,0,60,10,44.0,43.76206961077844,10.73,No
36 months,MORTGAGE,A,debt_consolidation,6.11%,OH,Current,Individual,9000,10+ years,50000.0,1,23,0,36,10,68.0,43.76206961077844,27.87,No
60 months,RENT,D,home_improvement,19.92%,NY,Current,Joint App,10500,3 years,13200.0,0,6,0,60,3,25.0,43.76206961077844,16.64,No
60 months,RENT,D,house,22.35%,CA,Current,Joint App,30000,< 1 year,50000.0,0,21,0,60,1,13.0,43.76206961077844,31.06,No
36 months,MORTGAGE,B,other,12.73%,TX,Fully Paid,Joint App,30000,< 1 year,2500.0,3,18,0,36,1,23.0,43.76206961077844,190.87,No
36 months,RENT,C,home_improvement,15.02%,NY,Current,Individual,5000,n/a,15000.0,0,7,0,36,"",11.0,43.76206961077844,13.12,No
36 months,RENT,A,other,6.67%,NY,Current,Individual,12000,2 years,60000.0,0,25,0,36,2,33.0,43.76206961077844,20.78,No
36 months,RENT,C,debt_consolidation,16.91%,OH,Current,Individual,6000,n/a,21009.0,0,11,0,36,"",45.0,43.76206961077844,29.14,No
36 months,MORTGAGE,C,home_improvement,15.02%,MI,Current,Individual,5500,10+ years,61814.0,0,39,0,36,10,15.0,43.76206961077844,27.16,No
36 months,RENT,E,other,27.27%,FL,Current,Individual,5400,< 1 year,18014.0,0,5,0,36,1,28.0,43.76206961077844,13.19,No
36 months,RENT,A,debt_consolidation,8.46%,CA,Current,Individual,10000,n/a,85000.0,0,30,0,36,"",36.0,43.76206961077844,23.27,No
36 months,MORTGAGE,B,credit_card,12.73%,GA,Current,Individual,38925,10+ years,450000.0,0,31,0,36,10,58.0,43.76206961077844,12.75,No
36 months,RENT,C,debt_consolidation,13.56%,CA,Current,Joint App,40000,1 year,65000.0,2,14,0,36,1,15.0,43.76206961077844,6.06,No
36 months,OWN,A,debt_consolidation,7.84%,OH,Current,Individual,9000,10+ years,62000.0,0,10,0,36,10,90.0,43.76206961077844,7.53,No
60 months,RENT,D,debt_consolidation,18.94%,NY,Current,Joint App,19925,4 years,52450.0,0,4,0,60,4,87.0,43.76206961077844,16.41,No
60 months,MORTGAGE,E,debt_consolidation,24.37%,MN,Current,Individual,30000,10+ years,71500.0,0,20,0,60,10,69.0,43.76206961077844,21.69,No
36 months,RENT,A,credit_card,7.84%,NY,Current,Individual,6000,4 years,36700.0,0,7,0,36,4,41.0,43.76206961077844,33.32,No
36 months,MORTGAGE,D,other,19.92%,TX,Current,Individual,8500,10+ years,89000.0,3,27,0,36,10,87.0,43.76206961077844,33.64,No
36 months,OWN,A,credit_card,7.84%,PA,Current,Individual,8000,2 years,50000.0,0,26,0,36,2,54.0,43.76206961077844,36.22,No
36 months,MORTGAGE,B,credit_card,11.55%,FL,Current,Joint App,35000,3 years,63000.0,0,27,0,36,3,33.0,43.76206961077844,22.29,No
36 months,MORTGAGE,B,debt_consolidation,10.47%,CA,Current,Individual,7200,10+ years,76000.0,1,24,1,36,10,79.0,43.76206961077844,18.08,No
36 months,OWN,A,credit_card,8.46%,TX,Current,Individual,25000,7 years,40000.0,0,18,0,36,7,60.0,43.76206961077844,33.32,No
60 months,MORTGAGE,D,other,19.92%,NJ,Current,Joint App,10000,n/a,0.0,0,18,0,60,"",100.0,43.76206961077844,18.37,No
60 months,OWN,C,credit_card,13.56%,CT,Current,Individual,20000,< 1 year,175000.0,0,40,0,60,1,38.0,43.76206961077844,30.92,No
60 months,MORTGAGE,C,house,16.91%,GA,Fully Paid,Joint App,24000,n/a,30000.0,0,5,0,60,"",42.0,43.76206961077844,15.64,No
36 months,MORTGAGE,A,debt_consolidation,8.46%,NC,Current,Individual,20000,2 years,91000.0,0,28,0,36,2,15.0,43.76206961077844,24.79,No
36 months,MORTGAGE,A,debt_consolidation,7.84%,NH,Current,Individual,11200,10+ years,60000.0,1,22,1,36,10,28.0,43.76206961077844,32.18,No
36 months,RENT,E,debt_consolidation,24.37%,IL,Current,Joint App,30000,2 years,47500.0,0,14,0,36,2,30.0,43.76206961077844,7.71,No
36 months,RENT,C,debt_consolidation,13.56%,NV,Current,Individual,9600,7 years,44000.0,0,40,0,36,7,61.0,43.76206961077844,31.97,No
36 months,RENT,B,debt_consolidation,10.08%,MD,Current,Individual,20000,5 years,118000.0,0,23,0,36,5,53.0,43.76206961077844,18.1,No
36 months,RENT,B,car,11.06%,CA,Current,Individual,5000,9 years,36000.0,0,28,0,36,9,18.0,43.76206961077844,17.43,No
60 months,MORTGAGE,D,debt_consolidation,17.97%,PA,Current,Individual,15000,10+ years,103000.0,0,18,0,60,10,28.0,43.76206961077844,13.04,No
36 months,RENT,C,debt_consolidation,15.02%,NY,Current,Individual,25000,10+ years,150000.0,0,17,0,36,10,66.0,43.76206961077844,4.33,No
36 months,RENT,A,debt_consolidation,7.21%,CT,Current,Individual,25000,3 years,110000.0,0,11,0,36,3,18.0,43.76206961077844,12.48,No
36 months,RENT,A,debt_consolidation,6.67%,CA,Current,Individual,10000,1 year,81500.0,1,8,0,36,1,81.0,43.76206961077844,11.74,No
36 months,RENT,D,debt_consolidation,17.97%,SD,Current,Individual,21000,10+ years,42000.0,0,10,0,36,10,87.0,43.76206961077844,37.77,No
36 months,RENT,C,debt_consolidation,16.91%,TN,Current,Individual,6400,10+ years,45000.0,0,26,0,36,10,21.0,43.76206961077844,33.84,No
36 months,OWN,B,debt_consolidation,10.47%,CA,Current,Joint App,16000,4 years,30000.0,0,11,0,36,4,51.0,43.76206961077844,20.96,No
36 months,MORTGAGE,C,home_improvement,13.56%,CA,Current,Individual,10000,10+ years,81129.0,0,33,0,36,10,58.0,43.76206961077844,23.22,No
36 months,RENT,E,debt_consolidation,24.37%,CA,Current,Individual,12000,1 year,36918.0,0,21,0,36,1,99.0,43.76206961077844,14.5,No
60 months,MORTGAGE,B,credit_card,10.08%,CA,Current,Individual,40000,8 years,300000.0,0,16,0,60,8,91.0,43.76206961077844,15.26,No
60 months,RENT,C,credit_card,14.47%,NY,Current,Individual,10000,< 1 year,80000.0,0,13,0,60,1,72.0,43.76206961077844,15.41,No
36 months,RENT,A,debt_consolidation,8.46%,CA,Current,Individual,40000,< 1 year,79000.0,0,13,0,36,1,44.0,43.76206961077844,5.57,No
60 months,OWN,D,home_improvement,17.97%,TN,Current,Individual,10000,10+ years,42000.0,0,38,0,60,10,31.0,43.76206961077844,18.43,No
36 months,MORTGAGE,C,debt_consolidation,14.47%,MD,Current,Individual,10000,2 years,39000.0,0,10,0,36,2,28.0,43.76206961077844,11.05,No
36 months,OWN,B,debt_consolidation,11.55%,CA,Fully Paid,Joint App,13000,3 years,80000.0,0,17,0,36,3,15.0,43.76206961077844,6.83,No
36 months,MORTGAGE,C,home_improvement,13.56%,MD,Current,Individual,25000,n/a,95000.0,1,28,1,36,"",30.0,43.76206961077844,6.23,No
36 months,RENT,B,debt_consolidation,12.73%,GA,Current,Individual,8000,4 years,52000.0,0,9,0,36,4,62.0,43.76206961077844,29.13,No
36 months,MORTGAGE,B,debt_consolidation,10.08%,RI,Current,Individual,6000,n/a,47000.0,0,12,0,36,"",23.0,43.76206961077844,5.11,No
36 months,MORTGAGE,C,credit_card,16.91%,TX,Current,Individual,10000,4 years,49776.0,0,18,0,36,4,79.0,43.76206961077844,25.77,No
60 months,MORTGAGE,B,debt_consolidation,11.06%,CO,Current,Individual,33000,10+ years,123000.0,0,21,0,60,10,100.0,43.76206961077844,10.6,No
36 months,MORTGAGE,D,credit_card,19.92%,CA,Current,Individual,2500,8 years,95000.0,0,20,0,36,8,45.0,43.76206961077844,16.67,No
36 months,RENT,B,credit_card,10.47%,AZ,Current,Individual,6000,3 years,27000.0,0,3,0,36,3,84.0,43.76206961077844,19.69,No
36 months,MORTGAGE,A,debt_consolidation,8.46%,TN,Current,Individual,5000,n/a,72000.0,0,28,0,36,"",17.0,43.76206961077844,13.19,No
60 months,MORTGAGE,D,credit_card,22.35%,IL,Current,Individual,20000,n/a,40000.0,0,19,0,60,"",54.0,43.76206961077844,24.93,No
36 months,MORTGAGE,A,debt_consolidation,6.67%,AK,Current,Individual,9000,10+ years,104000.0,1,27,0,36,10,24.0,43.76206961077844,7.73,No
36 months,RENT,B,credit_card,11.55%,MA,Current,Individual,10000,6 years,40000.0,0,16,0,36,6,23.0,43.76206961077844,13.62,No
60 months,RENT,C,debt_consolidation,15.02%,CT,Current,Joint App,22000,< 1 year,40000.0,0,18,0,60,1,26.0,43.76206961077844,26.76,No
36 months,RENT,D,debt_consolidation,22.35%,CA,Current,Individual,30000,9 years,134000.0,0,106,0,36,9,16.0,43.76206961077844,32.3,No
36 months,OWN,B,home_improvement,10.08%,AL,Current,Individual,7000,10+ years,149000.0,0,26,0,36,10,18.0,43.76206961077844,11.34,No
36 months,MORTGAGE,A,credit_card,6.67%,FL,Current,Individual,10000,< 1 year,91000.0,1,13,0,36,1,57.0,43.76206961077844,17.9,No
36 months,MORTGAGE,A,vacation,7.84%,MI,Current,Joint App,4800,n/a,28000.0,0,23,0,36,"",5.0,43.76206961077844,32.28,No
36 months,OWN,A,other,7.84%,CA,Current,Individual,10000,n/a,37000.0,0,12,0,36,"",41.0,43.76206961077844,10.35,No
60 months,RENT,B,credit_card,11.06%,NC,Current,Individual,30000,< 1 year,54080.0,0,26,0,60,1,38.0,43.76206961077844,26.03,No
60 months,OWN,D,debt_consolidation,17.97%,OH,Current,Individual,15000,10+ years,70000.0,0,27,0,60,10,36.0,43.76206961077844,18.16,No
60 months,MORTGAGE,D,debt_consolidation,19.92%,MN,Current,Joint App,35000,n/a,1000.0,0,51,0,60,"",81.0,43.76206961077844,999.0,No
36 months,MORTGAGE,C,small_business,16.91%,NJ,Current,Individual,1000,< 1 year,75000.0,1,27,0,36,1,81.0,43.76206961077844,21.47,No
60 months,OWN,A,home_improvement,7.84%,WA,Current,Individual,24000,< 1 year,75000.0,0,13,0,60,1,24.0,43.76206961077844,15.79,No
60 months,MORTGAGE,C,credit_card,14.47%,AR,Current,Individual,10000,10+ years,120000.0,0,40,0,60,10,57.0,43.76206961077844,39.59,No
36 months,MORTGAGE,A,debt_consolidation,7.21%,IL,Current,Joint App,15000,1 year,42500.0,0,18,0,36,1,25.0,43.76206961077844,23.98,No
60 months,RENT,B,debt_consolidation,10.47%,FL,Current,Individual,30000,10+ years,62000.0,0,12,0,60,10,44.0,43.76206961077844,16.12,No
60 months,MORTGAGE,D,small_business,19.92%,IN,Current,Individual,12000,8 years,125000.0,0,12,0,60,8,73.0,43.76206961077844,14.47,No
36 months,MORTGAGE,A,debt_consolidation,6.67%,NE,Current,Joint App,8000,5 years,50000.0,0,25,0,36,5,37.0,43.76206961077844,15.99,No
36 months,OWN,A,debt_consolidation,7.84%,NY,Current,Individual,5000,10+ years,52000.0,0,13,0,36,10,3.0,43.76206961077844,19.92,No
36 months,RENT,B,other,10.47%,FL,Current,Individual,9600,5 years,65000.0,0,22,0,36,5,10.0,43.76206961077844,16.93,No
36 months,MORTGAGE,B,home_improvement,12.73%,MD,Current,Joint App,5750,4 years,45000.0,0,28,0,36,4,84.0,43.76206961077844,76.8,No
36 months,RENT,B,debt_consolidation,11.06%,UT,Fully Paid,Individual,8000,4 years,35000.0,0,6,0,36,4,46.0,43.76206961077844,17.15,No
36 months,OWN,C,credit_card,15.02%,WI,Current,Individual,6000,1 year,36000.0,1,6,0,36,1,52.0,43.76206961077844,5.47,No
36 months,RENT,D,credit_card,18.94%,AK,Current,Individual,22000,< 1 year,120000.0,0,10,0,36,1,52.0,43.76206961077844,12.23,No
36 months,RENT,C,debt_consolidation,16.91%,NC,Current,Individual,2200,3 years,44000.0,0,7,0,36,3,74.0,43.76206961077844,7.34,No
36 months,RENT,C,medical,16.91%,CA,Current,Individual,4000,2 years,106000.0,0,19,0,36,2,97.0,43.76206961077844,36.01,No
36 months,RENT,A,other,6.67%,CA,Current,Individual,6500,10+ years,38000.0,0,18,0,36,10,5.0,43.76206961077844,5.78,No
60 months,MORTGAGE,C,debt_consolidation,14.47%,MD,Current,Individual,16000,2 years,84000.0,0,15,0,60,2,32.0,43.76206961077844,4.77,No
60 months,RENT,D,debt_consolidation,20.89%,IL,Current,Individual,32500,10+ years,75000.0,0,18,0,60,10,31.0,43.76206961077844,22.26,No
36 months,MORTGAGE,E,home_improvement,27.27%,WI,Current,Individual,1000,2 years,45000.0,0,12,0,36,2,20.0,43.76206961077844,0.67,No
60 months,MORTGAGE,B,debt_consolidation,10.47%,OK,Charged Off,Individual,37000,10+ years,185000.0,1,17,0,60,10,91.0,43.76206961077844,13.83,Yes
36 months,MORTGAGE,C,debt_consolidation,15.02%,NJ,Current,Individual,10000,< 1 year,200000.0,0,27,0,36,1,82.0,43.76206961077844,26.7,No
36 months,RENT,B,debt_consolidation,10.47%,TX,Current,Individual,7000,5 years,42000.0,0,13,0,36,5,0.0,43.76206961077844,14.54,No
36 months,MORTGAGE,A,credit_card,6.11%,IL,Current,Individual,15000,9 years,107500.0,0,34,0,36,9,36.0,43.76206961077844,23.2,No
60 months,RENT,C,debt_consolidation,14.47%,AZ,Current,Individual,32000,10+ years,70000.0,0,18,0,60,10,62.0,43.76206961077844,18.48,No
36 months,RENT,A,credit_card,7.21%,FL,Current,Individual,6000,5 years,35000.0,0,16,0,36,5,68.0,43.76206961077844,31.17,No
36 months,RENT,B,debt_consolidation,12.73%,TX,Current,Individual,12000,3 years,70000.0,0,16,0,36,3,33.0,43.76206961077844,21.64,No
36 months,OWN,D,car,20.89%,MO,Current,Joint App,4800,10+ years,33748.0,0,19,0,36,10,24.0,43.76206961077844,24.25,No
36 months,RENT,A,credit_card,7.84%,PA,Current,Individual,8000,10+ years,40000.0,0,20,0,36,10,35.0,43.76206961077844,14.52,No
36 months,RENT,B,debt_consolidation,10.08%,OR,Current,Individual,7000,4 years,37000.0,0,31,0,36,4,33.0,43.76206961077844,4.51,No
36 months,RENT,C,other,16.14%,AZ,Current,Joint App,1000,10+ years,32000.0,1,4,0,36,10,97.0,43.76206961077844,25.36,No
60 months,OWN,C,debt_consolidation,14.47%,CA,Fully Paid,Individual,19000,10+ years,100000.0,0,19,0,60,10,33.0,43.76206961077844,5.1,No
36 months,RENT,A,credit_card,6.67%,TX,Current,Individual,3200,< 1 year,50000.0,0,21,0,36,1,40.0,43.76206961077844,3.31,No
36 months,OWN,A,credit_card,6.67%,NY,Current,Individual,5000,< 1 year,44000.0,0,11,0,36,1,80.0,43.76206961077844,18.39,No
36 months,RENT,A,debt_consolidation,6.67%,MO,Current,Individual,12000,5 years,62500.0,0,23,0,36,5,13.0,43.76206961077844,14.83,No
60 months,MORTGAGE,D,credit_card,20.89%,MD,Current,Individual,35000,1 year,110949.0,0,44,0,60,1,74.0,43.76206961077844,24.76,No
36 months,MORTGAGE,B,credit_card,10.08%,CA,Current,Individual,14000,5 years,85000.0,0,12,0,36,5,55.0,43.76206961077844,17.69,No
60 months,RENT,D,debt_consolidation,19.92%,FL,Current,Individual,35000,2 years,225000.0,0,11,0,60,2,91.0,43.76206961077844,3.63,No
36 months,RENT,D,credit_card,19.92%,CA,Current,Individual,10000,2 years,150000.0,0,26,0,36,2,68.0,43.76206961077844,10.7,No
36 months,MORTGAGE,D,debt_consolidation,22.35%,AZ,Current,Individual,6500,10+ years,54900.0,0,18,0,36,10,59.0,43.76206961077844,11.06,No
60 months,MORTGAGE,D,home_improvement,18.94%,NC,Current,Individual,30000,10+ years,94813.0,0,15,0,60,10,59.0,43.76206961077844,9.57,No
60 months,RENT,D,debt_consolidation,19.92%,NJ,Fully Paid,Individual,10000,6 years,27000.0,0,9,0,60,6,35.0,43.76206961077844,22.49,No
36 months,RENT,B,debt_consolidation,10.08%,CA,Current,Individual,11000,10+ years,63500.0,0,26,0,36,10,10.0,43.76206961077844,12.78,No
36 months,RENT,D,vacation,22.35%,WA,Current,Individual,1500,10+ years,45400.0,2,25,0,36,10,46.0,43.76206961077844,25.75,No
36 months,MORTGAGE,A,credit_card,7.21%,FL,Current,Individual,12000,9 years,47000.0,0,28,0,36,9,13.0,43.76206961077844,3.12,No
60 months,MORTGAGE,C,debt_consolidation,13.56%,OH,Current,Individual,24000,10+ years,56000.0,0,24,0,60,10,85.0,43.76206961077844,14.27,No
36 months,MORTGAGE,A,credit_card,6.11%,MN,Fully Paid,Individual,6000,9 years,66500.0,0,28,0,36,9,39.0,43.76206961077844,7.09,No
36 months,RENT,C,debt_consolidation,15.02%,MD,Current,Individual,20000,10+ years,70000.0,1,32,0,36,10,50.0,43.76206961077844,22.4,No
60 months,OWN,A,debt_consolidation,8.46%,MI,Current,Individual,17000,8 years,43000.0,0,12,0,60,8,47.0,43.76206961077844,19.59,No
36 months,MORTGAGE,A,debt_consolidation,6.67%,TN,Current,Individual,9000,n/a,30000.0,0,21,0,36,"",57.0,43.76206961077844,28.56,No
36 months,MORTGAGE,D,debt_consolidation,20.89%,OR,Current,Individual,16000,10+ years,86000.0,0,13,0,36,10,102.0,43.76206961077844,34.48,No
36 months,RENT,C,major_purchase,16.91%,TX,Current,Individual,3000,5 years,110000.0,0,25,0,36,5,76.0,43.76206961077844,21.0,No
36 months,RENT,A,credit_card,8.46%,NY,Current,Individual,6000,5 years,32000.0,0,13,0,36,5,22.0,43.76206961077844,7.69,No
36 months,MORTGAGE,D,debt_consolidation,19.92%,WI,Current,Individual,3000,10+ years,43000.0,0,13,0,36,10,83.0,43.76206961077844,19.62,No
36 months,RENT,D,debt_consolidation,17.97%,NY,Current,Joint App,12000,< 1 year,40000.0,0,6,0,36,1,101.0,43.76206961077844,11.91,No
36 months,RENT,D,debt_consolidation,17.97%,CA,Late (31-120 days),Individual,5000,< 1 year,55000.0,0,27,0,36,1,42.0,43.76206961077844,23.37,Yes
36 months,MORTGAGE,A,debt_consolidation,6.11%,NJ,Current,Individual,24000,2 years,200000.0,0,34,0,36,2,50.0,43.76206961077844,21.53,No
60 months,MORTGAGE,D,debt_consolidation,18.94%,WY,Fully Paid,Individual,21600,10+ years,50700.0,0,39,0,60,10,27.0,43.76206961077844,28.14,No
36 months,MORTGAGE,A,credit_card,7.84%,IL,Current,Individual,32000,10+ years,85000.0,0,50,0,36,10,28.0,43.76206961077844,30.31,No
60 months,OWN,B,debt_consolidation,11.55%,TN,Current,Joint App,25500,n/a,36000.0,0,23,0,60,"",9.0,43.76206961077844,15.27,No
60 months,MORTGAGE,A,debt_consolidation,6.11%,FL,Current,Individual,25000,4 years,96000.0,0,14,0,60,4,56.0,43.76206961077844,12.29,No
60 months,RENT,A,medical,7.84%,IN,Current,Joint App,10800,2 years,63500.0,0,25,0,60,2,2.0,43.76206961077844,10.68,No
36 months,RENT,C,debt_consolidation,16.91%,FL,Current,Joint App,14000,2 years,50000.0,0,12,0,36,2,46.0,43.76206961077844,16.78,No
36 months,MORTGAGE,E,debt_consolidation,24.37%,TX,Current,Individual,5300,10+ years,24000.0,0,13,0,36,10,44.0,43.76206961077844,24.8,No
36 months,OWN,A,home_improvement,7.84%,NM,Current,Individual,20000,10+ years,68000.0,0,27,0,36,10,5.0,43.76206961077844,7.79,No
36 months,MORTGAGE,B,debt_consolidation,11.06%,PA,Current,Joint App,11225,10+ years,27000.0,1,13,0,36,10,13.0,43.76206961077844,19.82,No
60 months,MORTGAGE,D,debt_consolidation,19.92%,OH,Fully Paid,Joint App,12000,10+ years,86000.0,0,31,0,60,10,50.0,43.76206961077844,26.12,No
36 months,RENT,B,credit_card,12.73%,OH,Current,Individual,10000,9 years,55000.0,0,5,0,36,9,65.0,43.76206961077844,14.12,No
60 months,MORTGAGE,E,debt_consolidation,23.40%,NY,Current,Individual,10000,10+ years,50000.0,1,24,0,60,10,69.0,43.76206961077844,30.68,No
60 months,RENT,B,debt_consolidation,10.47%,CA,Current,Individual,40000,10+ years,100000.0,0,14,0,60,10,40.0,43.76206961077844,6.61,No
60 months,MORTGAGE,D,debt_consolidation,19.92%,IL,Current,Individual,30000,8 years,65000.0,0,27,0,60,8,49.0,43.76206961077844,30.0,No
36 months,RENT,A,credit_card,8.46%,FL,Current,Individual,6000,10+ years,50000.0,0,8,0,36,10,44.0,43.76206961077844,9.7,No
